C:\Users\2213226\Documents\comprasgovIFMS> python.exe .\main.py
11:02:23 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:11:33 | INFO     | ❌ FAIL | TL | PREGAO            | 2025 | 360/363 (99.2%) | Falhas: 137
11:11:35 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2026 | 362/363 (99.7%) | Falhas: 138
11:11:38 | INFO     | ❌ FAIL | TL | PREGAO            | 2026 | 363/363 (100.0%) | Falhas: 139
11:11:38 | INFO     |    Concluído — DONE: 0 | SKIP: 224 | FAIL: 139
11:11:38 | INFO     | ▶ Módulo LEI 14.133 — 24 tarefas | 2 threads
11:11:38 | INFO     | ⏭️  SKIPs acumulados: 24 | 24/24 (100.0%) | Falhas: 0
11:11:38 | INFO     |    Concluído — DONE: 0 | SKIP: 24 | FAIL: 0
11:11:38 | INFO     | ============================================================
11:11:38 | INFO     | 📊 RESUMO DA EXTRAÇÃO DE COMPRAS
11:11:38 | INFO     |   Falhas Legado   : 139
11:11:38 | INFO     |   Falhas Lei14133 : 0
11:11:38 | INFO     |   SKIPs           : 0
11:11:38 | INFO     | ============================================================
11:11:38 | INFO     | 📤 GERANDO compras.csv...
📂 4900 arquivo(s) encontrado(s). Processando...

✅ CSV gerado: data\compras.csv
   IDs únicos     : 2351
   Legado         : 1924
   Lei 14.133     : 427
   Com responsável: 2061
   Sem objeto     : 0
   Colunas        : 27
11:11:39 | INFO     | ============================================================
11:11:39 | INFO     | 🔩 INICIANDO EXTRAÇÃO DE ITENS
🔍 Coletando ids de compras para montar a fila de itens...

   IDs únicos     : 2351
   Consultas prev.: 4663  (vs 9404 no modo bruto)
   Já em cache    : 4663
   A extrair      : 0
   TOTAL fila     : 0

⚠️  Nenhuma compra encontrada ou todas já em cache.
11:11:42 | INFO     | ============================================================
11:11:42 | INFO     | 📤 GERANDO itens.csv...
📂 6586 arquivo(s) de itens encontrado(s). Processando...

✅ CSV gerado: data\itens.csv
   Itens únicos  : 27423
   Legado        : 20870
   Lei 14.133    : 6553
   Colunas       : 33
11:11:46 | INFO     | ============================================================
11:11:46 | INFO     | 📋 INICIANDO EXTRAÇÃO DE ATAS
   UASG        : RT (158132)
   Anos        : 2023–2026
   Já em cache : 4
   A extrair   : 0

⏭️  Tudo em cache. Nada a extrair.
11:11:46 | INFO     | ============================================================
11:11:46 | INFO     | 📤 GERANDO atas.csv...
📂 4 arquivo(s) de atas encontrado(s). Processando...

✅ CSV gerado: data\atas.csv
   Atas únicas   : 355
   Atas excluídas: 0
   Colunas       : 22
11:11:46 | INFO     | ============================================================
11:11:46 | INFO     | ============================================================
11:11:46 | INFO     | 📊 RESUMO FINAL
11:11:46 | INFO     |   Falhas compras : 139
11:11:46 | INFO     |   Falhas itens   : 0
11:11:46 | INFO     |   Falhas atas    : 0
11:11:46 | INFO     | ⚠️  Pipeline finalizado com 139 falha(s).
