C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
13:29:14 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
[13:34:25] ✅ SUCESSO | 15844805000012018 | E2 | 1725/2839 (60.8%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15844805000062019 | E2 | 1726/2839 (60.8%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15844805000012020 | E2 | 1727/2839 (60.8%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15844805000042020 | E2 | 1728/2839 (60.9%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15844805000032020 | E2 | 1729/2839 (60.9%) | Falhas: 0
[13:34:25] ✅ SUCESSO | 15845005000012016 | E2 | 1730/2839 (60.9%) | Falhas: 0
[13:34:26] ✅ SUCESSO | 15845005000042015 | E2 | 1731/2839 (61.0%) | Falhas: 0
[13:34:26] ✅ SUCESSO | 15845005000042016 | E2 | 1732/2839 (61.0%) | Falhas: 0
[13:34:26] ✅ SUCESSO | 15845005000032017 | E2 | 1733/2839 (61.0%) | Falhas: 0
[13:34:26] ✅ SUCESSO | 15845005000042017 | E2 | 1734/2839 (61.1%) | Falhas: 0
[13:34:26] ✅ SUCESSO | 15845005000012017 | E2 | 1735/2839 (61.1%) | Falhas: 0
[13:34:26] ✅ SUCESSO | 15845005000092016 | E2 | 1736/2839 (61.1%) | Falhas: 0
[13:34:27] ✅ SUCESSO | 15845005000022018 | E2 | 1737/2839 (61.2%) | Falhas: 0
[13:34:27] ✅ SUCESSO | 15845005000082018 | E2 | 1738/2839 (61.2%) | Falhas: 0
[13:34:27] ✅ SUCESSO | 15845005000012018 | E2 | 1739/2839 (61.3%) | Falhas: 0
[13:34:27] ✅ SUCESSO | 15845005000092018 | E2 | 1740/2839 (61.3%) | Falhas: 0
[13:34:27] ✅ SUCESSO | 15845005000012019 | E2 | 1741/2839 (61.3%) | Falhas: 0
[13:34:27] ✅ SUCESSO | 15845005000022019 | E2 | 1742/2839 (61.4%) | Falhas: 0
[13:34:28] ✅ SUCESSO | 15845005000052019 | E2 | 1743/2839 (61.4%) | Falhas: 0
[13:34:28] ✅ SUCESSO | 15845005000032019 | E2 | 1744/2839 (61.4%) | Falhas: 0
[13:34:28] ✅ SUCESSO | 15845005000062019 | E2 | 1745/2839 (61.5%) | Falhas: 0
[13:34:28] ✅ SUCESSO | 15845005000012020 | E2 | 1746/2839 (61.5%) | Falhas: 0
[13:34:28] ✅ SUCESSO | 15845005000042020 | E2 | 1747/2839 (61.5%) | Falhas: 0
[13:34:28] ✅ SUCESSO | 15845005000022020 | E2 | 1748/2839 (61.6%) | Falhas: 0
[13:34:28] ✅ SUCESSO | 15845005000062020 | E2 | 1749/2839 (61.6%) | Falhas: 0
[13:34:29] ✅ SUCESSO | 15845005000032020 | E2 | 1750/2839 (61.6%) | Falhas: 0
[13:34:29] ✅ SUCESSO | 15844903000012016 | E2 | 1751/2839 (61.7%) | Falhas: 0
[13:34:29] ✅ SUCESSO | 15845005000072020 | E2 | 1752/2839 (61.7%) | Falhas: 0
[13:34:29] ✅ SUCESSO | 15844905000022016 | E2 | 1753/2839 (61.7%) | Falhas: 0
[13:34:29] ✅ SUCESSO | 15844903000022016 | E2 | 1754/2839 (61.8%) | Falhas: 0
[13:34:30] ✅ SUCESSO | 15844905000032016 | E2 | 1755/2839 (61.8%) | Falhas: 0
[13:34:30] ✅ SUCESSO | 15844905000162016 | E2 | 1756/2839 (61.9%) | Falhas: 0
[13:34:30] ✅ SUCESSO | 15844905000152016 | E2 | 1757/2839 (61.9%) | Falhas: 0
[13:34:30] ✅ SUCESSO | 15844905000062017 | E2 | 1758/2839 (61.9%) | Falhas: 0
[13:34:30] ✅ SUCESSO | 15844905000082017 | E2 | 1759/2839 (62.0%) | Falhas: 0
[13:34:30] ✅ SUCESSO | 15844905000102017 | E2 | 1760/2839 (62.0%) | Falhas: 0
[13:34:30] ✅ SUCESSO | 15844905000012017 | E2 | 1761/2839 (62.0%) | Falhas: 0
[13:34:30] ✅ SUCESSO | 15844905000092017 | E2 | 1762/2839 (62.1%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000042017 | E2 | 1763/2839 (62.1%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000022017 | E2 | 1764/2839 (62.1%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000052017 | E2 | 1765/2839 (62.2%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000032017 | E2 | 1766/2839 (62.2%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000022018 | E2 | 1767/2839 (62.2%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000072017 | E2 | 1768/2839 (62.3%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000042018 | E2 | 1769/2839 (62.3%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000052018 | E2 | 1770/2839 (62.3%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000032018 | E2 | 1771/2839 (62.4%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000102018 | E2 | 1772/2839 (62.4%) | Falhas: 0
[13:34:31] ✅ SUCESSO | 15844905000062018 | E2 | 1773/2839 (62.5%) | Falhas: 0
[13:34:32] ✅ SUCESSO | 15844905000122018 | E2 | 1774/2839 (62.5%) | Falhas: 0
[13:34:32] ✅ SUCESSO | 15844905000112018 | E2 | 1775/2839 (62.5%) | Falhas: 0
[13:34:47] ✅ SUCESSO | 15844905000082018 | E2 | 1776/2839 (62.6%) | Falhas: 0
[13:34:47] ✅ SUCESSO | 15844905000072018 | E2 | 1777/2839 (62.6%) | Falhas: 0
[13:34:47] ✅ SUCESSO | 15844905000092018 | E2 | 1778/2839 (62.6%) | Falhas: 0
[13:34:47] ✅ SUCESSO | 15844905000032019 | E2 | 1779/2839 (62.7%) | Falhas: 0
[13:34:47] ✅ SUCESSO | 15844905000042019 | E2 | 1780/2839 (62.7%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000122019 | E2 | 1781/2839 (62.7%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000132019 | E2 | 1782/2839 (62.8%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000012018 | E2 | 1783/2839 (62.8%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000082019 | E2 | 1784/2839 (62.8%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000092019 | E2 | 1785/2839 (62.9%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000072019 | E2 | 1786/2839 (62.9%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000062019 | E2 | 1787/2839 (62.9%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000022019 | E2 | 1788/2839 (63.0%) | Falhas: 0
[13:34:48] ✅ SUCESSO | 15844905000102019 | E2 | 1789/2839 (63.0%) | Falhas: 0
[13:35:03] ✅ SUCESSO | 15844905000012019 | E2 | 1790/2839 (63.1%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15844905000052019 | E2 | 1791/2839 (63.1%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15844905000112019 | E2 | 1792/2839 (63.1%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15844905000012020 | E2 | 1793/2839 (63.2%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15844905000052020 | E2 | 1794/2839 (63.2%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15845105000142015 | E2 | 1795/2839 (63.2%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15845105000132015 | E2 | 1796/2839 (63.3%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15845105000012016 | E2 | 1797/2839 (63.3%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15845103000012016 | E2 | 1798/2839 (63.3%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15845105000022016 | E2 | 1799/2839 (63.4%) | Falhas: 0
[13:35:04] ✅ SUCESSO | 15845105000012017 | E2 | 1800/2839 (63.4%) | Falhas: 0
[13:35:05] ✅ SUCESSO | 15845105000092017 | E2 | 1801/2839 (63.4%) | Falhas: 0
[13:35:05] ✅ SUCESSO | 15845105000052017 | E2 | 1802/2839 (63.5%) | Falhas: 0
[13:35:05] ✅ SUCESSO | 15845105000022017 | E2 | 1803/2839 (63.5%) | Falhas: 0
[13:35:05] ✅ SUCESSO | 15845105000082017 | E2 | 1804/2839 (63.5%) | Falhas: 0
[13:35:05] ✅ SUCESSO | 15845105000072017 | E2 | 1805/2839 (63.6%) | Falhas: 0
[13:35:20] ✅ SUCESSO | 15845105000042017 | E2 | 1806/2839 (63.6%) | Falhas: 0
[13:35:20] ✅ SUCESSO | 15845105000032017 | E2 | 1807/2839 (63.6%) | Falhas: 0
[13:35:20] ✅ SUCESSO | 15845105000142017 | E2 | 1808/2839 (63.7%) | Falhas: 0
[13:35:20] ✅ SUCESSO | 15845105000162017 | E2 | 1809/2839 (63.7%) | Falhas: 0
[13:35:21] ✅ SUCESSO | 15845105000132017 | E2 | 1810/2839 (63.8%) | Falhas: 0
[13:35:21] ✅ SUCESSO | 15845105000012018 | E2 | 1811/2839 (63.8%) | Falhas: 0
[13:35:21] ✅ SUCESSO | 15845105000152017 | E2 | 1812/2839 (63.8%) | Falhas: 0
[13:35:21] ✅ SUCESSO | 15845105000112017 | E2 | 1813/2839 (63.9%) | Falhas: 0
[13:35:21] ✅ SUCESSO | 15845105000122017 | E2 | 1814/2839 (63.9%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000042018 | E2 | 1815/2839 (63.9%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000022018 | E2 | 1816/2839 (64.0%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000052018 | E2 | 1817/2839 (64.0%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000072018 | E2 | 1818/2839 (64.0%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000102018 | E2 | 1819/2839 (64.1%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000092018 | E2 | 1820/2839 (64.1%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000112018 | E2 | 1821/2839 (64.1%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000062018 | E2 | 1822/2839 (64.2%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000082018 | E2 | 1823/2839 (64.2%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000012019 | E2 | 1824/2839 (64.2%) | Falhas: 0
[13:35:37] ✅ SUCESSO | 15845105000032019 | E2 | 1825/2839 (64.3%) | Falhas: 0
