C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
11:45:42 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:45:42 | INFO     | ============================================================
[11:51:13] ❌ FAIL | JD | OUTRASMODALIDADES | 2024
[11:51:16] ❌ FAIL | JD | PREGAO          | 2024
[11:51:16] ✅ DONE | JD | DISPENSA        | 2025
[11:51:19] ❌ FAIL | JD | OUTRASMODALIDADES | 2025
[11:51:20] ❌ FAIL | JD | PREGAO          | 2025
[11:51:20] ✅ DONE | JD | DISPENSA        | 2026
[11:51:23] ❌ FAIL | JD | OUTRASMODALIDADES | 2026
[11:51:25] ❌ FAIL | JD | PREGAO          | 2026
[11:51:25] ✅ DONE | NA | DISPENSA        | 2016
[11:51:26] ❌ FAIL | NA | OUTRASMODALIDADES | 2016
[11:51:29] ❌ FAIL | NA | PREGAO          | 2016
[11:51:30] ✅ DONE | NA | DISPENSA        | 2017
[11:51:32] ❌ FAIL | NA | OUTRASMODALIDADES | 2017
[11:51:33] ❌ FAIL | NA | PREGAO          | 2017
[11:51:33] ✅ DONE | NA | DISPENSA        | 2018
[11:51:36] ❌ FAIL | NA | OUTRASMODALIDADES | 2018
[11:51:39] ❌ FAIL | NA | PREGAO          | 2018
[11:51:39] ✅ DONE | NA | DISPENSA        | 2019
[11:51:40] ❌ FAIL | NA | OUTRASMODALIDADES | 2019
[11:51:43] ❌ FAIL | NA | PREGAO          | 2019
[11:51:43] ✅ DONE | NA | DISPENSA        | 2020
[11:51:46] ❌ FAIL | NA | OUTRASMODALIDADES | 2020
[11:51:47] ❌ FAIL | NA | PREGAO          | 2020
[11:51:47] ✅ DONE | NA | DISPENSA        | 2021
[11:51:50] ❌ FAIL | NA | OUTRASMODALIDADES | 2021
[11:51:54] ❌ FAIL | NA | PREGAO          | 2021
[11:51:54] ❌ FAIL | NA | OUTRASMODALIDADES | 2022
[11:51:54] ✅ DONE | NA | DISPENSA        | 2022
[11:51:57] ❌ FAIL | NA | PREGAO          | 2022
[11:51:58] ✅ DONE | NA | DISPENSA        | 2023
[11:52:00] ❌ FAIL | NA | PREGAO          | 2023
[11:52:01] ❌ FAIL | NA | OUTRASMODALIDADES | 2023
[11:52:02] ✅ DONE | NA | DISPENSA        | 2024
[11:52:04] ❌ FAIL | NA | OUTRASMODALIDADES | 2024
[11:52:07] ❌ FAIL | NA | PREGAO          | 2024
