arquivo_origem;data_extracao;numero_ata;numero_controle_pncp_ata;numero_controle_pncp_compra;id_compra;numero_compra;ano_compra;modalidade_codigo;modalidade_nome;uasg_codigo;uasg_nome;data_assinatura;data_vigencia_inicial;data_vigencia_final;valor_total;quantidade_itens;status_ata;ata_excluida;objeto_ata;link_ata_pncp;link_compra_pncp
atas_manuais.json;2026-04-01 12:16:29;00039/2023;10673078000120-1-000068/2023-000011;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00040/2023;10673078000120-1-000068/2023-000012;10673078000120-1-000068/2023;15813205000262023;00026;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/01/2024;03/01/2024;03/01/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00055/2025;10673078000120-1-000094/2023-000002;10673078000120-1-000094/2023;15813205000372023;00037;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;02/07/2025;03/07/2025;03/07/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00011/2025;10673078000120-1-000069/2025-000001;10673078000120-1-000069/2025;15813206001932025;00193;2025;06;Dispensa;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;01/08/2025;04/08/2025;04/08/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00010/2025;10673078000120-1-000069/2025-000002;10673078000120-1-000069/2025;15813206001932025;00193;2025;06;Dispensa;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;01/08/2025;04/08/2025;04/08/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00078/2024;10673078000120-1-000056/2024-000004;10673078000120-1-000056/2024;15813205900132024;90013;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;01/11/2024;04/11/2024;04/11/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00079/2024;10673078000120-1-000056/2024-000005;10673078000120-1-000056/2024;15813205900132024;90013;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;01/11/2024;04/11/2024;04/11/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00012/2024;10673078000120-1-000097/2023-000001;10673078000120-1-000097/2023;15813205000362023;00036;2023;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;03/06/2024;05/06/2024;05/06/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00115/2025;10673078000120-1-000068/2025-000001;10673078000120-1-000068/2025;15813205900542025;90054;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;04/09/2025;05/09/2025;05/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;91400/2024;10673078000120-1-000080/2024-000003;10673078000120-1-000080/2024;15813205900142024;90014;2024;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;04/12/2024;05/12/2024;05/12/2025;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
