arquivo_origem;data_extracao;numero_ata;uasg_gerenciadora;numero_item;codigo_pdm;descricao_item;fornecedor_cnpj;fornecedor_nome;codigo_unidade;nome_unidade;tipo_unidade;sigla_unidade;aceita_adesao;quantidade_registrada;saldo_adesoes;saldo_remanejamento_empenho;qtd_limite_adesao;qtd_limite_informado_compra;quantidade_empenhada;data_inclusao;data_atualizacao;data_exclusao
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;154773;INST.FED.SUL-RIO-GRANDENSE/SANT.DO LIVRAMENTO;PARTICIPANTE;;Sim;15,00;1339,00;15,00;2482,00;2482,00;;06/11/2023;26/12/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;154856;INST.FED.DO MARANHAO/CAMPUS VIANA;PARTICIPANTE;;Sim;4,00;1339,00;4,00;2482,00;2482,00;;06/11/2023;06/11/2023;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158122;INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS;PARTICIPANTE;;Sim;120,00;1339,00;119,00;2482,00;2482,00;;06/11/2023;05/01/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158125;INSTITUTO FEDERAL CATARINENSE - REITORIA;PARTICIPANTE;;Sim;120,00;1339,00;120,00;2482,00;2482,00;;06/11/2023;11/07/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158127;INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA;PARTICIPANTE;;Sim;30,00;1339,00;29,00;2482,00;2482,00;;06/11/2023;22/07/2025;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158128;INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO;PARTICIPANTE;;Sim;106,00;1339,00;106,00;2482,00;2482,00;;06/11/2023;30/12/2024;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;GERENCIADORA;RT;Sim;33,00;1339,00;33,00;2482,00;2482,00;;06/11/2023;30/12/2023;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158135;INST.FED.DE EDUC.,CIENC.E TEC.DO PARA;PARTICIPANTE;;Sim;20,00;1339,00;19,00;2482,00;2482,00;;06/11/2023;16/09/2025;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158139;INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE;PARTICIPANTE;;Sim;3,00;1339,00;3,00;2482,00;2482,00;;06/11/2023;06/11/2023;
atas_unidades_RT_00001_2023_00002_p1.json;2026-02-20 11:07:56;00001/2023;158132;00002;;Prestação de Serviços de Agenciamento de Viagens- Repasse de seguro de viagem;26722189000110;CERRADO VIAGENS LTDA;158141;INST.FED.DE EDUC.,CIENC.E TEC.DO RS;PARTICIPANTE;;Sim;5,00;1339,00;5,00;2482,00;2482,00;;06/11/2023;18/12/2024;
