14:27:37 | INFO     | ============================================================
14:27:37 | INFO     | 🏢 EXTRAINDO UNIDADES PARTICIPANTES DAS ATAS...
14:27:37 | INFO     | UASG        : RT (158132)
14:27:37 | INFO     | A extrair   : 1308
14:27:37 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE UNIDADES | WORKERS: 3 | TOTAL: 1308
14:29:08 | INFO     | [14:29:08] ✅ DONE | 00005/2024 | item 00027 | 130/1308 (9.9%) | Falhas: 0
14:29:08 | INFO     | [14:29:08] ✅ DONE | 00005/2024 | item 00023 | 131/1308 (10.0%) | Falhas: 0
14:29:09 | INFO     | [14:29:09] ✅ DONE | 00005/2024 | item 00029 | 132/1308 (10.1%) | Falhas: 0
14:29:09 | INFO     | [14:29:09] ✅ DONE | 00005/2024 | item 00028 | 133/1308 (10.2%) | Falhas: 0
14:29:09 | INFO     | [14:29:09] ✅ DONE | 00002/2024 | item 00006 | 134/1308 (10.2%) | Falhas: 0
14:29:10 | INFO     | [14:29:10] ✅ DONE | 00004/2024 | item 00014 | 135/1308 (10.3%) | Falhas: 0
14:29:10 | INFO     | [14:29:10] ✅ DONE | 00006/2024 | item 00002 | 136/1308 (10.4%) | Falhas: 0
14:29:10 | INFO     | [14:29:10] ✅ DONE | 00003/2024 | item 00026 | 137/1308 (10.5%) | Falhas: 0
14:29:11 | INFO     | [14:29:11] ✅ DONE | 00006/2024 | item 00003 | 138/1308 (10.6%) | Falhas: 0
14:29:11 | INFO     | [14:29:11] ✅ DONE | 00006/2024 | item 00004 | 139/1308 (10.6%) | Falhas: 0
14:29:11 | INFO     | [14:29:11] ✅ DONE | 00006/2024 | item 00005 | 140/1308 (10.7%) | Falhas: 0
14:29:12 | INFO     | [14:29:12] ✅ DONE | 00006/2024 | item 00007 | 141/1308 (10.8%) | Falhas: 0
14:29:12 | INFO     | [14:29:12] ✅ DONE | 00006/2024 | item 00008 | 142/1308 (10.9%) | Falhas: 0
14:29:13 | INFO     | [14:29:13] ✅ DONE | 00006/2024 | item 00006 | 143/1308 (10.9%) | Falhas: 0
14:29:13 | INFO     | [14:29:13] ✅ DONE | 00006/2024 | item 00009 | 144/1308 (11.0%) | Falhas: 0
14:29:14 | INFO     | [14:29:14] ✅ DONE | 00006/2024 | item 00026 | 145/1308 (11.1%) | Falhas: 0
14:29:14 | INFO     | [14:29:14] ✅ DONE | 00006/2024 | item 00020 | 146/1308 (11.2%) | Falhas: 0
14:29:14 | INFO     | [14:29:14] ✅ DONE | 00006/2024 | item 00022 | 147/1308 (11.2%) | Falhas: 0
14:29:15 | INFO     | [14:29:15] ✅ DONE | 00005/2024 | item 00030 | 148/1308 (11.3%) | Falhas: 0
14:29:15 | INFO     | [14:29:15] ✅ DONE | 00006/2024 | item 00027 | 149/1308 (11.4%) | Falhas: 0
14:29:16 | INFO     | [14:29:16] ✅ DONE | 00005/2024 | item 00031 | 150/1308 (11.5%) | Falhas: 0
14:29:16 | INFO     | [14:29:16] ✅ DONE | 00005/2024 | item 00032 | 151/1308 (11.5%) | Falhas: 0
14:29:17 | INFO     | [14:29:17] ✅ DONE | 00005/2024 | item 00033 | 152/1308 (11.6%) | Falhas: 0
14:29:17 | INFO     | [14:29:17] ✅ DONE | 00005/2024 | item 00034 | 153/1308 (11.7%) | Falhas: 0
14:29:17 | INFO     | [14:29:17] ✅ DONE | 00005/2024 | item 00036 | 154/1308 (11.8%) | Falhas: 0
14:29:18 | INFO     | [14:29:18] ✅ DONE | 00005/2024 | item 00040 | 155/1308 (11.9%) | Falhas: 0
14:29:18 | INFO     | [14:29:18] ✅ DONE | 00005/2024 | item 00038 | 156/1308 (11.9%) | Falhas: 0
14:29:18 | INFO     | [14:29:18] ✅ DONE | 00005/2024 | item 00044 | 157/1308 (12.0%) | Falhas: 0
14:29:19 | INFO     | [14:29:19] ✅ DONE | 00005/2024 | item 00045 | 158/1308 (12.1%) | Falhas: 0
14:29:19 | INFO     | [14:29:19] ✅ DONE | 00005/2024 | item 00046 | 159/1308 (12.2%) | Falhas: 0
14:29:20 | INFO     | [14:29:20] ✅ DONE | 00005/2024 | item 00047 | 160/1308 (12.2%) | Falhas: 0
14:29:20 | INFO     | [14:29:20] ✅ DONE | 00005/2024 | item 00050 | 161/1308 (12.3%) | Falhas: 0
14:29:20 | INFO     | [14:29:20] ✅ DONE | 00005/2024 | item 00056 | 162/1308 (12.4%) | Falhas: 0
14:29:20 | INFO     | [14:29:20] ✅ DONE | 00005/2024 | item 00054 | 163/1308 (12.5%) | Falhas: 0
14:29:21 | INFO     | [14:29:21] ✅ DONE | 00005/2024 | item 00057 | 164/1308 (12.5%) | Falhas: 0
14:29:21 | INFO     | [14:29:21] ✅ DONE | 00005/2024 | item 00058 | 165/1308 (12.6%) | Falhas: 0
14:29:22 | INFO     | [14:29:22] ✅ DONE | 00005/2024 | item 00059 | 166/1308 (12.7%) | Falhas: 0
14:29:22 | INFO     | [14:29:22] ✅ DONE | 00005/2024 | item 00060 | 167/1308 (12.8%) | Falhas: 0
14:29:22 | INFO     | [14:29:22] ✅ DONE | 00005/2024 | item 00061 | 168/1308 (12.8%) | Falhas: 0
14:29:23 | INFO     | [14:29:23] ✅ DONE | 00005/2024 | item 00062 | 169/1308 (12.9%) | Falhas: 0
14:29:23 | INFO     | [14:29:23] ✅ DONE | 00005/2024 | item 00064 | 170/1308 (13.0%) | Falhas: 0
14:29:23 | INFO     | [14:29:23] ✅ DONE | 00005/2024 | item 00065 | 171/1308 (13.1%) | Falhas: 0
14:29:23 | INFO     | [14:29:23] ✅ DONE | 00005/2024 | item 00066 | 172/1308 (13.1%) | Falhas: 0
14:29:24 | INFO     | [14:29:24] ✅ DONE | 00005/2024 | item 00067 | 173/1308 (13.2%) | Falhas: 0
14:29:24 | INFO     | [14:29:24] ✅ DONE | 00005/2024 | item 00069 | 174/1308 (13.3%) | Falhas: 0
14:29:24 | INFO     | [14:29:24] ✅ DONE | 00005/2024 | item 00075 | 175/1308 (13.4%) | Falhas: 0
14:29:24 | INFO     | [14:29:24] ✅ DONE | 00005/2024 | item 00086 | 176/1308 (13.5%) | Falhas: 0
14:29:25 | INFO     | [14:29:25] ✅ DONE | 00005/2024 | item 00089 | 177/1308 (13.5%) | Falhas: 0
