09:12:02 | INFO     | ============================================================
09:12:02 | INFO     | 👥 EXTRAINDO RESPONSÁVEIS DOS CONTRATOS...
09:12:02 | INFO     | Contratos na fila : 1602
09:12:02 | INFO     | Validade cache    : 1 dia(s)
09:12:02 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE RESPONSÁVEIS | WORKERS: 15 | TOTAL: 1602
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414345 | 0 responsáveis | 115/1602 (7.2%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414350 | 0 responsáveis | 116/1602 (7.2%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414354 | 0 responsáveis | 117/1602 (7.3%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414357 | 0 responsáveis | 118/1602 (7.4%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414343 | 0 responsáveis | 119/1602 (7.4%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414363 | 0 responsáveis | 120/1602 (7.5%) | Falhas: 0
09:12:10 | INFO     | [09:12:10] ✅ DONE | 414362 | 0 responsáveis | 121/1602 (7.6%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414364 | 0 responsáveis | 122/1602 (7.6%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414365 | 0 responsáveis | 123/1602 (7.7%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414366 | 0 responsáveis | 124/1602 (7.7%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414379 | 0 responsáveis | 125/1602 (7.8%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414370 | 0 responsáveis | 126/1602 (7.9%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414381 | 0 responsáveis | 127/1602 (7.9%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414367 | 0 responsáveis | 128/1602 (8.0%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414382 | 0 responsáveis | 129/1602 (8.1%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414380 | 0 responsáveis | 130/1602 (8.1%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414368 | 0 responsáveis | 131/1602 (8.2%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414377 | 0 responsáveis | 132/1602 (8.2%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414378 | 0 responsáveis | 133/1602 (8.3%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414371 | 0 responsáveis | 134/1602 (8.4%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414383 | 0 responsáveis | 135/1602 (8.4%) | Falhas: 0
09:12:11 | INFO     | [09:12:11] ✅ DONE | 414369 | 0 responsáveis | 136/1602 (8.5%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414384 | 0 responsáveis | 137/1602 (8.6%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414385 | 0 responsáveis | 138/1602 (8.6%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414386 | 0 responsáveis | 139/1602 (8.7%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414389 | 0 responsáveis | 140/1602 (8.7%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414387 | 0 responsáveis | 141/1602 (8.8%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414388 | 0 responsáveis | 142/1602 (8.9%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414391 | 0 responsáveis | 143/1602 (8.9%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414392 | 0 responsáveis | 144/1602 (9.0%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414390 | 0 responsáveis | 145/1602 (9.1%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414393 | 0 responsáveis | 146/1602 (9.1%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414397 | 0 responsáveis | 147/1602 (9.2%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414394 | 0 responsáveis | 148/1602 (9.2%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414395 | 0 responsáveis | 149/1602 (9.3%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414398 | 0 responsáveis | 150/1602 (9.4%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414396 | 0 responsáveis | 151/1602 (9.4%) | Falhas: 0
09:12:12 | INFO     | [09:12:12] ✅ DONE | 414399 | 0 responsáveis | 152/1602 (9.5%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 414400 | 0 responsáveis | 153/1602 (9.6%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 414401 | 0 responsáveis | 154/1602 (9.6%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 414402 | 0 responsáveis | 155/1602 (9.7%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 420318 | 0 responsáveis | 156/1602 (9.7%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 439873 | 0 responsáveis | 157/1602 (9.8%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 443905 | 0 responsáveis | 158/1602 (9.9%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 541044 | 0 responsáveis | 159/1602 (9.9%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 497651 | 2 responsáveis | 160/1602 (10.0%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 443239 | 0 responsáveis | 161/1602 (10.0%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 541049 | 0 responsáveis | 162/1602 (10.1%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 443904 | 0 responsáveis | 163/1602 (10.2%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 578780 | 0 responsáveis | 164/1602 (10.2%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 529777 | 0 responsáveis | 165/1602 (10.3%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 520315 | 2 responsáveis | 166/1602 (10.4%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 541118 | 0 responsáveis | 167/1602 (10.4%) | Falhas: 0
09:12:13 | INFO     | [09:12:13] ✅ DONE | 578781 | 0 responsáveis | 168/1602 (10.5%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 578782 | 0 responsáveis | 169/1602 (10.5%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 586172 | 0 responsáveis | 170/1602 (10.6%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 603603 | 0 responsáveis | 171/1602 (10.7%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 603609 | 0 responsáveis | 172/1602 (10.7%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 603618 | 0 responsáveis | 173/1602 (10.8%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 603614 | 0 responsáveis | 174/1602 (10.9%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 603611 | 0 responsáveis | 175/1602 (10.9%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 603620 | 0 responsáveis | 176/1602 (11.0%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 604271 | 0 responsáveis | 177/1602 (11.0%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 638940 | 0 responsáveis | 178/1602 (11.1%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 607879 | 0 responsáveis | 179/1602 (11.2%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 603615 | 0 responsáveis | 180/1602 (11.2%) | Falhas: 0
09:12:14 | INFO     | [09:12:14] ✅ DONE | 609947 | 0 responsáveis | 181/1602 (11.3%) | Falhas: 0
